"","p","n","cor","pval"
"691",5,200,0,0.874
"692",5,200,0,0.643
"693",5,200,0,0.441
"694",5,200,0,0.161
"695",5,200,0,0.446
"696",5,200,0,0.135
"697",5,200,0,0.482
"698",5,200,0,0.962
"699",5,200,0,0.896
"700",5,200,0,0.767
"701",5,200,0,0.537
"702",5,200,0,0.666
"703",5,200,0,0.856
"704",5,200,0,0.51
"705",5,200,0,0.075
"706",5,200,0,0.71
"707",5,200,0,0.594
"708",5,200,0,0.685
"709",5,200,0,0.667
"710",5,200,0,0.792
"711",5,200,0,0.519
"712",5,200,0,0.026
"713",5,200,0,0.074
"714",5,200,0,0.236
"715",5,200,0,0.558
"716",5,200,0,0.079
"717",5,200,0,0.285
"718",5,200,0,0.314
"719",5,200,0,0.799
"720",5,200,0,0.792
"721",5,200,0,0.521
"722",5,200,0,0.791
"723",5,200,0,0.76
"724",5,200,0,0.46
"725",5,200,0,0.255
"726",5,200,0,0.048
"727",5,200,0,0.298
"728",5,200,0,0.715
"729",5,200,0,0.768
"730",5,200,0,0.772
"731",5,200,0,0.943
"732",5,200,0,0.868
"733",5,200,0,0.291
"734",5,200,0,0.479
"735",5,200,0,0.428
"736",5,200,0,0.773
"737",5,200,0,0.911
"738",5,200,0,0.699
"739",5,200,0,0.559
"740",5,200,0,0.305
"741",5,200,0,0.761
"742",5,200,0,0.17
"743",5,200,0,0.436
"744",5,200,0,0.342
"745",5,200,0,0.386
"746",5,200,0,0.932
"747",5,200,0,0.375
"748",5,200,0,0.777
"749",5,200,0,0.049
"750",5,200,0,0.204
"751",5,200,0,0.115
"752",5,200,0,0.653
"753",5,200,0,0.053
"754",5,200,0,0.567
"755",5,200,0,0.925
"756",5,200,0,0.85
"757",5,200,0,0.198
"758",5,200,0,0.175
"759",5,200,0,0.27
"760",5,200,0,0.627
"761",5,200,0,0.495
"762",5,200,0,0.385
"763",5,200,0,0.704
"764",5,200,0,0.084
"765",5,200,0,0.921
"766",5,200,0,0.042
"767",5,200,0,0.978
"768",5,200,0,0.729
"769",5,200,0,0.137
"770",5,200,0,0.335
"771",5,200,0,0.411
"772",5,200,0,0.692
"773",5,200,0,0.027
"774",5,200,0,0.872
"775",5,200,0,0.357
"776",5,200,0,0.186
"777",5,200,0,0.624
"778",5,200,0,0.37
"779",5,200,0,0.193
"780",5,200,0,0.16
"781",5,200,0,0.422
"782",5,200,0,0.956
"783",5,200,0,0.816
"784",5,200,0,0.26
"785",5,200,0,0.029
